location_id,x,y,industrial_score,water_score,grid_score,nuclear_score,population_score,total_score,rank,longitude,latitude
273,189931.12054177572,207053.72699677158,100.0,100.0,90.85016904909133,0.0,100,83.17003380981826,1,189931.12054177572,207053.72699677158
272,189931.12054177572,197053.72699677158,98.38326840338412,100.0,86.47647119225891,0.0,100,81.81027475946702,2,189931.12054177572,197053.72699677158
1181,339931.1205417757,377053.7269967716,100.0,100.0,0.0,100.0,80,78.0,3,339931.1205417757,377053.7269967716
1180,339931.1205417757,367053.7269967716,89.04091125556525,100.0,0.0,88.63241909864007,100,75.00713624146559,4,339931.1205417757,367053.7269967716
302,199931.12054177572,207053.72699677158,85.34574793287943,100.0,69.00931094965958,0.0,100,74.40558656979576,5,199931.12054177572,207053.72699677158
301,199931.12054177572,197053.72699677158,83.8948105344669,100.0,67.92110790085017,0.0,100,73.75266474051011,6,199931.12054177572,197053.72699677158
244,179931.12054177572,207053.72699677158,83.01365667888071,100.0,67.26024250916052,0.0,100,73.35614550549631,7,179931.12054177572,207053.72699677158
1106,329931.1205417757,377053.7269967716,78.6564339087177,100.0,0.0,92.80961885785221,100,72.51837300129314,8,329931.1205417757,377053.7269967716
1907,449931.1205417757,517053.7269967716,97.89006311366545,83.4029573446436,0.0,81.89329159237147,100,72.50175200911625,9,449931.1205417757,517053.7269967716
1908,449931.1205417757,527053.7269967715,100.0,66.64975150857937,0.0,100.0,100,71.66243787714484,10,449931.1205417757,527053.7269967715
1252,349931.1205417757,377053.7269967716,94.12942494962405,83.78356672488414,0.0,72.06110094252695,80,67.99388430748729,11,349931.1205417757,377053.7269967716
2032,479931.1205417757,417053.7269967716,80.00100262491674,85.0,55.849808080164095,0.0,100,66.42026240350785,12,479931.1205417757,417053.7269967716
1434,369931.1205417757,677053.7269967715,0.0,100.0,89.44645500375071,100.0,80,65.88929100075015,13,369931.1205417757,677053.7269967715
1866,449931.1205417757,107053.72699677157,99.18537009279835,100.0,0.0,0.0,100,64.7556110278395,14,449931.1205417757,107053.72699677157
2075,489931.1205417757,427053.7269967716,69.16352453731689,100.0,42.483443844323595,0.0,100,64.24574613005979,15,489931.1205417757,427053.7269967716
274,189931.12054177572,217053.72699677158,74.87448145800349,75.25061958007097,61.15586109350261,0.0,100,63.50617155111931,16,189931.12054177572,217053.72699677158
1955,459931.1205417757,517053.7269967716,100.0,46.3012413198574,0.0,75.9643341949782,100,62.96996045921108,17,459931.1205417757,517053.7269967716
1105,329931.1205417757,367053.7269967716,71.88358653358739,75.8320675358267,0.0,82.21697485226474,100,62.8556390718726,18,329931.1205417757,367053.7269967716
1085,329931.1205417757,147053.72699677158,0.0,100.0,73.86330224298004,86.7673797715378,100,62.78776741432668,19,329931.1205417757,147053.72699677158
1179,339931.1205417757,357053.7269967716,63.05472805549376,100.0,0.0,56.45235113553371,100,62.38427108697819,20,339931.1205417757,357053.7269967716
